ts,port,ok,alerts,seeds,samples,thr_offset,lb_slack
2025-08-10 23:43:08,south_louisiana,0,1,42/123/2025,800,0.0,0.03
2025-08-10 23:43:08,gulfport,1,0,42/123/2025,800,0.0,0.03
2025-08-10 23:54:32,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-10 23:54:32,new_orleans,1,0,42/123/2025,800,0.0,0.03
2025-08-10 23:54:32,south_louisiana,1,0,42/123/2025,800,0.0,0.03
2025-08-10 23:54:32,gulfport,1,0,42/123/2025,800,0.0,0.03
2025-08-11 00:08:07,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-11 12:39:38,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-11 12:47:43,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-11 12:50:16,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-11 13:05:28,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-11 13:20:52,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-11 13:59:26,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-11 14:13:54,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-11 14:21:44,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-12 13:00:38,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-12 13:21:29,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-12 14:20:01,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-12 14:20:01,new_orleans,1,0,42/123/2025,800,0.0,0.03
2025-08-12 14:20:01,south_louisiana,1,0,42/123/2025,800,0.0,0.03
2025-08-12 14:20:01,gulfport,1,0,42/123/2025,800,0.0,0.03
2025-08-12 14:47:58,baton_rouge,0,1,42/123/2025,800,0.0,0.03
2025-08-12 14:47:58,new_orleans,1,0,42/123/2025,800,0.0,0.03
2025-08-12 14:47:58,south_louisiana,1,0,42/123/2025,800,0.0,0.03
2025-08-12 14:47:58,gulfport,1,0,42/123/2025,800,0.0,0.03
