port,stage,win_rate,threshold,pass,timestamp,file_name,wilson_lb,std_dev,stable,samples,margin,wilson_margin
baton_rouge,基础阶段,0.41,0.41,True,unknown,consistency_baton_rouge_20250807_203444.json,0.0,0.0,True,100,0.0,-0.41
baton_rouge,中级阶段,0.49,0.46,True,unknown,consistency_baton_rouge_20250807_203444.json,0.0,0.0,True,100,0.02999999999999997,-0.46
baton_rouge,高级阶段,0.455,0.39,True,unknown,consistency_baton_rouge_20250807_203444.json,0.0,0.0,True,100,0.065,-0.39
new_orleans,基础阶段,0.0,0.35,False,unknown,consistency_new_orleans_20250807_190046.json,0.0,0.0,True,100,-0.35,-0.35
new_orleans,初级阶段,0.0,0.47,False,unknown,consistency_new_orleans_20250807_190046.json,0.0,0.0,True,100,-0.47,-0.47
new_orleans,中级阶段,0.0,0.5,False,unknown,consistency_new_orleans_20250807_190046.json,0.0,0.0,True,100,-0.5,-0.5
new_orleans,高级阶段,0.0,0.4,False,unknown,consistency_new_orleans_20250807_190046.json,0.0,0.0,True,100,-0.4,-0.4
new_orleans,专家阶段,0.0,0.3,False,unknown,consistency_new_orleans_20250807_190046.json,0.0,0.0,True,100,-0.3,-0.3
baton_rouge,基础阶段,0.5,0.51,False,unknown,consistency_baton_rouge_20250807_194022.json,0.0,0.0,True,100,-0.010000000000000009,-0.51
baton_rouge,中级阶段,0.5,0.55,False,unknown,consistency_baton_rouge_20250807_194022.json,0.0,0.0,True,100,-0.050000000000000044,-0.55
baton_rouge,高级阶段,0.36,0.4,False,unknown,consistency_baton_rouge_20250807_194022.json,0.0,0.0,True,100,-0.040000000000000036,-0.4
baton_rouge,基础阶段,0.44,0.51,False,unknown,consistency_baton_rouge_20250807_194034.json,0.0,0.0,True,100,-0.07,-0.51
baton_rouge,中级阶段,0.49,0.55,False,unknown,consistency_baton_rouge_20250807_194034.json,0.0,0.0,True,100,-0.06000000000000005,-0.55
baton_rouge,高级阶段,0.47,0.4,True,unknown,consistency_baton_rouge_20250807_194034.json,0.0,0.0,True,100,0.06999999999999995,-0.4
south_louisiana,基础阶段,0.765,0.41,True,unknown,consistency_south_louisiana_20250807_203618.json,0.0,0.0,True,100,0.35500000000000004,-0.41
south_louisiana,中级阶段,0.455,0.45,True,unknown,consistency_south_louisiana_20250807_203618.json,0.0,0.0,True,100,0.0050000000000000044,-0.45
south_louisiana,高级阶段,0.395,0.39,True,unknown,consistency_south_louisiana_20250807_203618.json,0.0,0.0,True,100,0.0050000000000000044,-0.39
gulfport,标准阶段,0.53,0.55,False,unknown,consistency_gulfport_20250807_194855.json,0.0,0.0,True,100,-0.020000000000000018,-0.55
gulfport,完整阶段,0.53,0.43,True,unknown,consistency_gulfport_20250807_194855.json,0.0,0.0,True,100,0.10000000000000003,-0.43
gulfport,标准阶段,0.53,0.55,False,unknown,consistency_gulfport_20250807_194117.json,0.0,0.0,True,100,-0.020000000000000018,-0.55
gulfport,完整阶段,0.53,0.43,True,unknown,consistency_gulfport_20250807_194117.json,0.0,0.0,True,100,0.10000000000000003,-0.43
baton_rouge,基础阶段,0.41,0.41,True,unknown,consistency_baton_rouge_20250807_203607.json,0.0,0.0,True,100,0.0,-0.41
